epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
97,15564.1,0.89819,0.79016,0.99575,0.57389,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,15642.9,0.89542,0.79259,0.99575,0.57437,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,15717.4,0.87683,0.79259,0.99575,0.57307,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,15791.4,0.87039,0.79319,0.99575,0.57005,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,15868,0.88053,0.79583,0.99595,0.56767,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,15942.4,0.85764,0.79623,0.99575,0.56628,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,16017.6,0.86241,0.79745,0.99554,0.56543,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,16095.5,0.8694,0.79846,0.99554,0.5608,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,16174.6,0.85585,0.79927,0.99554,0.55971,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,16252.1,0.86072,0.79968,0.99554,0.55914,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,16327.9,0.85318,0.79968,0.99575,0.55606,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,16403.7,0.84287,0.80049,0.99575,0.55307,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,16481.1,0.85162,0.8015,0.99575,0.54962,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,16560,0.84414,0.8019,0.99575,0.54901,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,16639.9,0.8333,0.80271,0.99595,0.55059,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,16715,0.82043,0.80413,0.99595,0.54552,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
